,Unnamed: 0,Gap_opening,Gap_extension,Threshold_Score,False_Positive_Rate
0,0,1.0,1.0,240.0,0.38
1,1,1.0,2.0,216.0,0.38
2,2,1.0,3.0,203.0,0.38
3,3,1.0,4.0,197.0,0.34
4,4,1.0,5.0,191.0,0.34
5,5,2.0,1.0,193.0,0.38
6,6,2.0,2.0,173.0,0.34
7,7,2.0,3.0,162.0,0.34
8,8,2.0,4.0,153.0,0.32
9,9,2.0,5.0,149.0,0.32
10,10,3.0,1.0,163.0,0.34
11,11,3.0,2.0,140.0,0.34
12,12,3.0,3.0,130.0,0.32
13,13,3.0,4.0,123.0,0.3
14,14,3.0,5.0,121.0,0.28
15,15,4.0,1.0,135.0,0.34
16,16,4.0,2.0,116.0,0.32
17,17,4.0,3.0,106.0,0.28
18,18,4.0,4.0,100.0,0.28
19,19,4.0,5.0,95.0,0.28
20,20,5.0,1.0,113.0,0.32
21,21,5.0,2.0,98.0,0.28
22,22,5.0,3.0,88.0,0.28
23,23,5.0,4.0,83.0,0.28
24,24,5.0,5.0,77.0,0.3
25,25,6.0,1.0,95.0,0.3
26,26,6.0,2.0,82.0,0.28
27,27,6.0,3.0,75.0,0.26
28,28,6.0,4.0,69.0,0.24
29,29,6.0,5.0,65.0,0.24
30,30,7.0,1.0,82.0,0.28
31,31,7.0,2.0,68.0,0.26
32,32,7.0,3.0,61.0,0.22
33,33,7.0,4.0,55.0,0.26
34,34,7.0,5.0,53.0,0.26
35,35,8.0,1.0,68.0,0.32
36,36,8.0,2.0,56.0,0.24
37,37,8.0,3.0,49.0,0.26
38,38,8.0,4.0,47.0,0.28
39,39,8.0,5.0,47.0,0.26
40,40,9.0,1.0,57.0,0.32
41,41,9.0,2.0,48.0,0.26
42,42,9.0,3.0,45.0,0.28
43,43,9.0,4.0,44.0,0.26
44,44,9.0,5.0,43.0,0.26
45,45,10.0,1.0,47.0,0.36
46,46,10.0,2.0,45.0,0.22
47,47,10.0,3.0,43.0,0.24
48,48,10.0,4.0,41.0,0.28
49,49,10.0,5.0,41.0,0.28
50,50,11.0,1.0,43.0,0.34
51,51,11.0,2.0,41.0,0.3
52,52,11.0,3.0,41.0,0.28
53,53,11.0,4.0,40.0,0.28
54,54,11.0,5.0,40.0,0.28
55,55,12.0,1.0,42.0,0.28
56,56,12.0,2.0,39.0,0.36
57,57,12.0,3.0,39.0,0.36
58,58,12.0,4.0,39.0,0.36
59,59,12.0,5.0,39.0,0.36
60,60,13.0,1.0,41.0,0.28
61,61,13.0,2.0,38.0,0.36
62,62,13.0,3.0,37.0,0.38
63,63,13.0,4.0,37.0,0.38
64,64,13.0,5.0,37.0,0.38
65,65,14.0,1.0,38.0,0.38
66,66,14.0,2.0,37.0,0.38
67,67,14.0,3.0,37.0,0.38
68,68,14.0,4.0,37.0,0.38
69,69,14.0,5.0,37.0,0.38
70,70,15.0,1.0,37.0,0.38
71,71,15.0,2.0,36.0,0.38
72,72,15.0,3.0,36.0,0.38
73,73,15.0,4.0,36.0,0.38
74,74,15.0,5.0,36.0,0.38
75,75,16.0,1.0,36.0,0.38
76,76,16.0,2.0,36.0,0.38
77,77,16.0,3.0,36.0,0.38
78,78,16.0,4.0,36.0,0.38
79,79,16.0,5.0,35.0,0.4
80,80,17.0,1.0,36.0,0.36
81,81,17.0,2.0,36.0,0.36
82,82,17.0,3.0,36.0,0.36
83,83,17.0,4.0,35.0,0.4
84,84,17.0,5.0,35.0,0.38
85,85,18.0,1.0,36.0,0.36
86,86,18.0,2.0,36.0,0.36
87,87,18.0,3.0,35.0,0.4
88,88,18.0,4.0,35.0,0.38
89,89,18.0,5.0,35.0,0.36
90,90,19.0,1.0,36.0,0.36
91,91,19.0,2.0,35.0,0.4
92,92,19.0,3.0,35.0,0.38
93,93,19.0,4.0,35.0,0.36
94,94,19.0,5.0,35.0,0.36
95,95,20.0,1.0,35.0,0.4
96,96,20.0,2.0,35.0,0.38
97,97,20.0,3.0,35.0,0.36
98,98,20.0,4.0,35.0,0.36
99,99,20.0,5.0,35.0,0.36
