,Gap_opening,Gap_extension,Threshold_Score
0,1,1,144
1,1,2,121
2,1,3,113
3,1,4,105
4,1,5,108
5,2,1,131
6,2,2,103
7,2,3,94
8,2,4,86
9,2,5,83
10,3,1,123
11,3,2,94
12,3,3,78
13,3,4,73
14,3,5,69
15,4,1,116
16,4,2,87
17,4,3,72
18,4,4,67
19,4,5,59
20,5,1,110
21,5,2,86
22,5,3,69
23,5,4,58
24,5,5,52
25,6,1,104
26,6,2,78
27,6,3,64
28,6,4,55
29,6,5,50
30,7,1,102
31,7,2,72
32,7,3,60
33,7,4,52
34,7,5,48
35,8,1,90
36,8,2,71
37,8,3,57
38,8,4,50
39,8,5,48
40,9,1,84
41,9,2,65
42,9,3,56
43,9,4,50
44,9,5,47
45,10,1,83
46,10,2,61
47,10,3,49
48,10,4,46
49,10,5,44
50,11,1,79
51,11,2,53
52,11,3,48
53,11,4,45
54,11,5,44
55,12,1,66
56,12,2,54
57,12,3,46
58,12,4,45
59,12,5,41
60,13,1,64
61,13,2,53
62,13,3,45
63,13,4,42
64,13,5,39
65,14,1,62
66,14,2,47
67,14,3,40
68,14,4,38
69,14,5,38
70,15,1,49
71,15,2,41
72,15,3,38
73,15,4,38
74,15,5,38
75,16,1,43
76,16,2,39
77,16,3,38
78,16,4,37
79,16,5,37
80,17,1,40
81,17,2,37
82,17,3,36
83,17,4,36
84,17,5,36
85,18,1,36
86,18,2,36
87,18,3,36
88,18,4,36
89,18,5,36
90,19,1,36
91,19,2,36
92,19,3,36
93,19,4,35
94,19,5,35
95,20,1,36
96,20,2,36
97,20,3,35
98,20,4,35
99,20,5,35
