,Gap_opening,Gap_extension,Threshold_Score
0,1.0,1.0,144.0
1,1.0,2.0,121.0
2,1.0,3.0,113.0
3,1.0,4.0,105.0
4,1.0,5.0,108.0
5,2.0,1.0,131.0
6,2.0,2.0,103.0
7,2.0,3.0,94.0
8,2.0,4.0,86.0
9,2.0,5.0,83.0
10,3.0,1.0,123.0
11,3.0,2.0,94.0
12,3.0,3.0,78.0
13,3.0,4.0,73.0
14,3.0,5.0,69.0
15,4.0,1.0,116.0
16,4.0,2.0,87.0
17,4.0,3.0,72.0
18,4.0,4.0,67.0
19,4.0,5.0,59.0
20,5.0,1.0,110.0
21,5.0,2.0,86.0
22,5.0,3.0,69.0
23,5.0,4.0,58.0
24,5.0,5.0,52.0
25,6.0,1.0,104.0
26,6.0,2.0,78.0
27,6.0,3.0,64.0
28,6.0,4.0,55.0
29,6.0,5.0,50.0
30,7.0,1.0,102.0
31,7.0,2.0,72.0
32,7.0,3.0,60.0
33,7.0,4.0,52.0
34,7.0,5.0,48.0
35,8.0,1.0,90.0
36,8.0,2.0,71.0
37,8.0,3.0,57.0
38,8.0,4.0,50.0
39,8.0,5.0,48.0
40,9.0,1.0,84.0
41,9.0,2.0,65.0
42,9.0,3.0,56.0
43,9.0,4.0,50.0
44,9.0,5.0,47.0
45,10.0,1.0,83.0
46,10.0,2.0,61.0
47,10.0,3.0,49.0
48,10.0,4.0,46.0
49,10.0,5.0,44.0
50,11.0,1.0,79.0
51,11.0,2.0,53.0
52,11.0,3.0,48.0
53,11.0,4.0,45.0
54,11.0,5.0,44.0
55,12.0,1.0,66.0
56,12.0,2.0,54.0
57,12.0,3.0,46.0
58,12.0,4.0,45.0
59,12.0,5.0,41.0
60,13.0,1.0,64.0
61,13.0,2.0,53.0
62,13.0,3.0,45.0
63,13.0,4.0,42.0
64,13.0,5.0,39.0
65,14.0,1.0,62.0
66,14.0,2.0,47.0
67,14.0,3.0,40.0
68,14.0,4.0,38.0
69,14.0,5.0,38.0
70,15.0,1.0,49.0
71,15.0,2.0,41.0
72,15.0,3.0,38.0
73,15.0,4.0,38.0
74,15.0,5.0,38.0
75,16.0,1.0,43.0
76,16.0,2.0,39.0
77,16.0,3.0,38.0
78,16.0,4.0,37.0
79,16.0,5.0,37.0
80,17.0,1.0,40.0
81,17.0,2.0,37.0
82,17.0,3.0,36.0
83,17.0,4.0,36.0
84,17.0,5.0,36.0
85,18.0,1.0,36.0
86,18.0,2.0,36.0
87,18.0,3.0,36.0
88,18.0,4.0,36.0
89,18.0,5.0,36.0
90,19.0,1.0,36.0
91,19.0,2.0,36.0
92,19.0,3.0,36.0
93,19.0,4.0,35.0
94,19.0,5.0,35.0
95,20.0,1.0,36.0
96,20.0,2.0,36.0
97,20.0,3.0,35.0
98,20.0,4.0,35.0
99,20.0,5.0,35.0
